PARAMETRO,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,1981,18.0672,-93.1763,0.89,0.89,0.9,0.77,0.65,0.83,0.97,0.97,0.98,0.96,0.94,0.93,0.89
GWETPROF,1982,18.0672,-93.1763,0.93,0.94,0.88,0.72,0.65,0.7,0.73,0.72,0.9,0.96,0.94,0.94,0.83
GWETPROF,1983,18.0672,-93.1763,0.95,0.85,0.75,0.61,0.51,0.54,0.59,0.68,0.84,0.92,0.92,0.9,0.75
GWETPROF,1984,18.0672,-93.1763,0.93,0.9,0.79,0.61,0.6,0.82,0.89,0.95,0.99,0.93,0.87,0.88,0.85
GWETPROF,1985,18.0672,-93.1763,0.87,0.84,0.76,0.74,0.66,0.69,0.81,0.87,0.93,0.94,0.87,0.93,0.83
GWETPROF,1986,18.0672,-93.1763,0.91,0.86,0.74,0.63,0.57,0.79,0.77,0.77,0.8,0.83,0.89,0.9,0.79
GWETPROF,1987,18.0672,-93.1763,0.87,0.86,0.83,0.75,0.61,0.85,0.97,0.97,0.96,0.95,0.9,0.88,0.87
GWETPROF,1988,18.0672,-93.1763,0.95,0.96,0.92,0.84,0.7,0.63,0.7,0.85,0.89,0.84,0.72,0.62,0.8
GWETPROF,1989,18.0672,-93.1763,0.55,0.5,0.47,0.46,0.47,0.5,0.53,0.59,0.65,0.67,0.58,0.52,0.54
GWETPROF,1990,18.0672,-93.1763,0.48,0.47,0.46,0.46,0.47,0.52,0.61,0.6,0.66,0.67,0.6,0.55,0.55
GWETPROF,1991,18.0672,-93.1763,0.57,0.7,0.63,0.52,0.49,0.53,0.68,0.63,0.68,0.91,0.95,0.95,0.69
GWETPROF,1992,18.0672,-93.1763,0.96,0.92,0.83,0.75,0.65,0.78,0.83,0.85,0.89,0.97,0.97,0.9,0.86
GWETPROF,1993,18.0672,-93.1763,0.85,0.81,0.7,0.58,0.58,0.65,0.85,0.88,0.96,0.96,0.92,0.87,0.8
GWETPROF,1994,18.0672,-93.1763,0.84,0.78,0.68,0.58,0.53,0.5,0.51,0.58,0.63,0.68,0.6,0.61,0.63
GWETPROF,1995,18.0672,-93.1763,0.61,0.6,0.57,0.53,0.51,0.58,0.72,0.85,0.94,0.97,0.93,0.9,0.73
GWETPROF,1996,18.0672,-93.1763,0.87,0.77,0.66,0.57,0.57,0.64,0.71,0.73,0.77,0.9,0.87,0.85,0.74
GWETPROF,1997,18.0672,-93.1763,0.81,0.79,0.72,0.6,0.58,0.59,0.66,0.64,0.75,0.86,0.86,0.88,0.73
GWETPROF,1998,18.0672,-93.1763,0.79,0.69,0.56,0.48,0.46,0.49,0.67,0.77,0.91,0.96,0.96,0.91,0.72
GWETPROF,1999,18.0672,-93.1763,0.84,0.79,0.67,0.55,0.49,0.51,0.59,0.59,0.79,0.97,0.94,0.87,0.72
GWETPROF,2000,18.0672,-93.1763,0.83,0.75,0.6,0.51,0.54,0.7,0.7,0.77,0.88,0.95,0.87,0.85,0.75
GWETPROF,2001,18.0672,-93.1763,0.82,0.8,0.68,0.55,0.55,0.59,0.6,0.66,0.8,0.94,0.94,0.89,0.73
GWETPROF,2002,18.0672,-93.1763,0.9,0.9,0.84,0.68,0.55,0.64,0.73,0.68,0.78,0.88,0.92,0.92,0.78
GWETPROF,2003,18.0672,-93.1763,0.85,0.75,0.59,0.52,0.48,0.59,0.65,0.67,0.81,0.95,0.95,0.93,0.73
GWETPROF,2004,18.0672,-93.1763,0.89,0.82,0.7,0.61,0.65,0.65,0.6,0.63,0.72,0.85,0.81,0.75,0.72
GWETPROF,2005,18.0672,-93.1763,0.69,0.6,0.52,0.48,0.48,0.59,0.8,0.85,0.94,0.94,0.88,0.88,0.72
GWETPROF,2006,18.0672,-93.1763,0.87,0.85,0.74,0.59,0.53,0.68,0.75,0.81,0.91,0.95,0.95,0.95,0.8
GWETPROF,2007,18.0672,-93.1763,0.96,0.92,0.83,0.67,0.53,0.51,0.51,0.65,0.87,0.93,0.94,0.86,0.76
GWETPROF,2008,18.0672,-93.1763,0.85,0.76,0.65,0.55,0.53,0.69,0.8,0.78,0.84,0.96,0.87,0.78,0.76
GWETPROF,2009,18.0672,-93.1763,0.75,0.66,0.56,0.5,0.48,0.52,0.57,0.57,0.68,0.7,0.84,0.79,0.63
GWETPROF,2010,18.0672,-93.1763,0.78,0.7,0.6,0.52,0.48,0.53,0.7,0.86,0.97,0.9,0.85,0.82,0.73
GWETPROF,2011,18.0672,-93.1763,0.77,0.73,0.64,0.53,0.5,0.49,0.65,0.77,0.92,0.97,0.93,0.87,0.73
GWETPROF,2012,18.0672,-93.1763,0.87,0.85,0.72,0.6,0.55,0.64,0.72,0.84,0.91,0.93,0.81,0.71,0.76
GWETPROF,2013,18.0672,-93.1763,0.75,0.69,0.59,0.51,0.5,0.63,0.7,0.72,0.86,0.92,0.98,0.96,0.73
GWETPROF,2014,18.0672,-93.1763,0.9,0.82,0.7,0.59,0.64,0.74,0.72,0.65,0.76,0.92,0.95,0.89,0.77
GWETPROF,2015,18.0672,-93.1763,0.92,0.87,0.8,0.69,0.59,0.65,0.59,0.56,0.67,0.81,0.9,0.96,0.75
GWETPROF,2016,18.0672,-93.1763,0.92,0.84,0.74,0.6,0.54,0.54,0.57,0.67,0.74,0.82,0.8,0.76,0.71
GWETPROF,2017,18.0672,-93.1763,0.7,0.63,0.56,0.53,0.5,0.65,0.67,0.66,0.79,0.93,0.91,0.83,0.7
GWETPROF,2018,18.0672,-93.1763,0.78,0.84,0.7,0.6,0.55,0.53,0.54,0.57,0.65,0.71,0.77,0.8,0.67
GWETPROF,2019,18.0672,-93.1763,0.78,0.75,0.69,0.59,0.5,0.59,0.61,0.59,0.61,0.75,0.93,0.89,0.69
GWETPROF,2020,18.0672,-93.1763,0.84,0.79,0.7,0.55,0.54,0.82,0.76,0.8,0.92,0.97,0.98,0.95,0.8
GWETPROF,2021,18.0672,-93.1763,0.91,0.84,0.73,0.58,0.56,0.64,0.68,0.66,0.74,0.82,0.83,0.79,0.73
GWETPROF,2022,18.0672,-93.1763,0.77,0.85,0.79,0.65,0.55,0.65,0.66,0.64,0.81,0.94,0.95,0.93,0.77
GWETPROF,2023,18.0672,-93.1763,0.92,0.93,0.84,0.69,0.54,0.5,0.61,0.69,0.71,0.76,0.88,0.92,0.75
GWETPROF,2024,18.0672,-93.1763,0.84,0.75,0.61,0.5,0.47,0.56,0.74,0.73,0.78,0.87,0.88,0.82,0.71
GWETPROF,2025,18.0672,-93.1763,0.79,0.75,0.65,0.54,0.49,0.53,0.56,0.57,0.67,0.79,0.76,0.74,0.65
PRECTOTCORR,1981,18.0672,-93.1763,1.2,13.24,5.76,2.74,5.62,17.55,15.06,22.04,20.61,13.6,3.97,12.71,11.16
PRECTOTCORR,1982,18.0672,-93.1763,6.1,11.36,2.11,2.2,6.23,7.39,6.48,5.5,19.88,10.18,7.01,10.71,7.89
PRECTOTCORR,1983,18.0672,-93.1763,4.63,2.78,1.46,1.51,1.33,5.9,4.98,10.6,10.48,12.11,5.1,7.25,5.7
PRECTOTCORR,1984,18.0672,-93.1763,7.6,2.08,1.35,0.37,12.31,8.87,11.67,10.72,22.59,4.79,8.69,3.38,7.88
PRECTOTCORR,1985,18.0672,-93.1763,7.31,4.03,3.73,5.22,3.54,9.84,13.11,10.32,9.91,11.96,4.25,12.31,8
PRECTOTCORR,1986,18.0672,-93.1763,5.81,2.89,5.24,1.3,12.9,6.45,5.22,10.22,5.73,9.42,10.5,3.39,6.63
PRECTOTCORR,1987,18.0672,-93.1763,5.45,6.54,5.79,1.68,3.34,21.66,17.46,13.61,14.78,9.03,8.42,5.28,9.42
PRECTOTCORR,1988,18.0672,-93.1763,10.92,14.92,6.08,4.28,3.33,4.32,12.57,9.46,7.37,2.06,1.22,0.4,6.39
PRECTOTCORR,1989,18.0672,-93.1763,1.4,0.54,0.32,0.43,1.51,4.26,5,5.01,7.32,2.59,0.71,0.16,2.44
PRECTOTCORR,1990,18.0672,-93.1763,0.23,0.31,0.24,0.22,2.59,5.9,6.5,3.22,9.83,2.42,2.27,0.53,2.86
